#project_accession: PXD004452
#project_title: HeLa proteome of 12,250 protein-coding genes
#project_description: We developed an optimized multi-shot proteomics workflow based on high-resolution offline high pH reversed-phase peptide separation of high peptide loads collecting many fractions that were in turn analyzed by short online chromatographic separations and fast peptide sequencing using orbitrap tandem mass spectrometry.
#quantms_version: 1.1
#factor_value: organism part
#INFO=<ID=protein, Number=inf, Type=String, Description="Protein Accession">
#INFO=<ID=sample_accession, Number=1, Type=String, Description="Sample Accession in the SDRF">
#INFO=<ID=condition, Number=1, Type=String, Description="Value of the factor value">
#INFO=<ID=ibaq, Number=1, Type=Float, Description="Intensity based absolute quantification">
#INFO=<ID=ribaq, Number=1, Type=Float, Description="relative iBAQ">
protein	sample_accession	condition	ibaq	ribaq
Q8NDT2	PXD004452-Sample-1	colon	3927943.213768116	4.093171197376429
O95825	PXD004452-Sample-1	colon	3925163.035087719	4.092863697064633
Q9BYX2	PXD004452-Sample-1	colon	3920500.340909091	4.09234749276324
Q96MG8	PXD004452-Sample-1	colon	3919876.323529412	4.092278361567947
Q14790	PXD004452-Sample-1	colon	3918337.7	4.092107859533907
Q96RF0	PXD004452-Sample-1	colon	3912310.095238095	4.091439267082131
O95395	PXD004452-Sample-1	colon	3910751.896551724	4.0912662613969255
Q9BU76	PXD004452-Sample-1	colon	3909719.1666666665	4.091151560149556
Q96CD2	PXD004452-Sample-1	colon	3905734.625	4.090708728637834
Q8WUU5	PXD004452-Sample-1	colon	3903220.0	4.090429027230476
O15075	PXD004452-Sample-1	colon	3902774.453125	4.0903794503186255
Q9BV68	PXD004452-Sample-1	colon	3897109.559523809	4.089748612100993
Q15311	PXD004452-Sample-1	colon	3894718.061111111	4.089482021347886
O95983	PXD004452-Sample-1	colon	3894387.65625	4.089445176808021
Q03111	PXD004452-Sample-1	colon	3893807.75	4.089380501983694
Q96SU4	PXD004452-Sample-1	colon	3884060.594444445	4.088291993435954
O95429	PXD004452-Sample-1	colon	3882517.888888889	4.088119462244715
Q4KMQ2	PXD004452-Sample-1	colon	3882202.378048781	4.088084168090592
Q9BZF1	PXD004452-Sample-1	colon	3874483.73397436	4.087219838765583
Q8WUM9	PXD004452-Sample-1	colon	3872476.3095238097	4.086994766382008
O75616	PXD004452-Sample-1	colon	3872063.452380952	4.086948462383414
Q8NI35	PXD004452-Sample-1	colon	3869535.7959401705	4.086664865351799
Q9BUE6	PXD004452-Sample-1	colon	3861886.5625	4.085805509646272
Q92766	PXD004452-Sample-1	colon	3860829.107638889	4.085686575625255
Q99496	PXD004452-Sample-1	colon	3858485.535714286	4.085422873358126
Q6IA17	PXD004452-Sample-1	colon	3856971.875	4.085252468813294
P41223	PXD004452-Sample-1	colon	3849192.708333333	4.084375651229607
Q7Z3J3	PXD004452-Sample-1	colon	3848429.311553031	4.084289510598274
P13598	PXD004452-Sample-1	colon	3841938.3958333335	4.08355639362488
Q9NVN8	PXD004452-Sample-1	colon	3841335.890625	4.083488280818261
O15047	PXD004452-Sample-1	colon	3841309.319672131	4.0834852767440415
Q08623	PXD004452-Sample-1	colon	3840508.75	4.083394755726988
P46976	PXD004452-Sample-1	colon	3838347.142857143	4.083150246885545
Q05823	PXD004452-Sample-1	colon	3836837.942028986	4.0829794529325785
Q9BQA9	PXD004452-Sample-1	colon	3833654.375	4.082618953080496
Q5VT25	PXD004452-Sample-1	colon	3830918.2627450977	4.082308882692801
P16520	PXD004452-Sample-1	colon	3829293.730769231	4.082124677533996
Q6ZRS2	PXD004452-Sample-1	colon	3826884.825581396	4.081851388645205
Q9H1I8	PXD004452-Sample-1	colon	3822220.3125	4.081321712949406
P20823	PXD004452-Sample-1	colon	3821285.1666666665	4.081215445300793
Q9H7Z6	PXD004452-Sample-1	colon	3820057.76	4.081075926383219
Q02040	PXD004452-Sample-1	colon	3818812.453125	4.080934326933617
P21741	PXD004452-Sample-1	colon	3817313.75	4.080763853453153
O14981	PXD004452-Sample-1	colon	3815111.128514057	4.0805131896342886
O43933	PXD004452-Sample-1	colon	3812154.481481481	4.080176488220923
Q9BYM8	PXD004452-Sample-1	colon	3808984.1666666665	4.079815164179213
Q14145	PXD004452-Sample-1	colon	3807332.779411765	4.079626834731107
Q13428	PXD004452-Sample-1	colon	3794366.664215687	4.078145292930056
P49795	PXD004452-Sample-1	colon	3793638.9583333335	4.078061993400287
Q86U38	PXD004452-Sample-1	colon	3791420.0862068967	4.077807903368188
Q9UJJ9	PXD004452-Sample-1	colon	3788264.5833333335	4.07744630057743
O95208	PXD004452-Sample-1	colon	3788073.611111111	4.077424406575289
Q9NP80	PXD004452-Sample-1	colon	3786974.388888889	4.077298364826419
P49754	PXD004452-Sample-1	colon	3777576.511363636	4.076219266145087
Q7L4E1	PXD004452-Sample-1	colon	3776414.4791666665	4.076085650901026
Q92551	PXD004452-Sample-1	colon	3771082.386363636	4.075472017292992
Q8IY17	PXD004452-Sample-1	colon	3771018.1120218574	4.075464615113197
Q9Y535	PXD004452-Sample-1	colon	3759459.0	4.074131349654767
P24043	PXD004452-Sample-1	colon	3754725.471698113	4.073584185687442
O15204	PXD004452-Sample-1	colon	3746806.265873016	4.072667234646281
Q9UNX4	PXD004452-Sample-1	colon	3744536.296875	4.072404041491825
P07332	PXD004452-Sample-1	colon	3744509.770833333	4.072400964968214
Q9H7E2	PXD004452-Sample-1	colon	3739522.277777778	4.071822121633727
Q9BQC3	PXD004452-Sample-1	colon	3739264.625	4.071792197748708
Q92576	PXD004452-Sample-1	colon	3736784.317543859	4.071504028452486
Q7L099	PXD004452-Sample-1	colon	3736583.560897436	4.071480695597691
O00194	PXD004452-Sample-1	colon	3734803.653846154	4.071273771822205
A6NJ78	PXD004452-Sample-1	colon	3731759.782608696	4.070919676777936
Q9UHV5	PXD004452-Sample-1	colon	3729010.1171875	4.070599558455132
A2VDF0	PXD004452-Sample-1	colon	3725532.404761905	4.070194342059571
Q92956	PXD004452-Sample-1	colon	3722262.777777778	4.069813026243679
Q6PID6	PXD004452-Sample-1	colon	3722039.7096153847	4.069786999017566
Q6P3X3	PXD004452-Sample-1	colon	3722020.73125	4.069784784581124
Q9BXM9	PXD004452-Sample-1	colon	3718778.255555555	4.06940627969383
O43819	PXD004452-Sample-1	colon	3716650.6666666665	4.069157739858647
Q86UW9	PXD004452-Sample-1	colon	3713210.0	4.068755508182642
O75794	PXD004452-Sample-1	colon	3710076.375	4.068388846825949
P54098	PXD004452-Sample-1	colon	3709381.9396551726	4.068307549937042
Q9NR77	PXD004452-Sample-1	colon	3708908.75	4.068252145352614
Q96JC1	PXD004452-Sample-1	colon	3707904.4464285714	4.068134530552203
Q9BRF8	PXD004452-Sample-1	colon	3703604.323529412	4.0676305792208
P49796	PXD004452-Sample-1	colon	3695794.563492064	4.066713819089212
P13521	PXD004452-Sample-1	colon	3694592.197368421	4.0665725055168025
O43847	PXD004452-Sample-1	colon	3682632.533333333	4.065164382317171
A6NEL2	PXD004452-Sample-1	colon	3681395.606481481	4.065018486483768
O60268	PXD004452-Sample-1	colon	3676204.9666666654	4.064405714267964
Q9NQ66	PXD004452-Sample-1	colon	3675479.266081872	4.064319973980287
Q99643	PXD004452-Sample-1	colon	3675361.25	4.064306028980929
Q03518	PXD004452-Sample-1	colon	3666350.266666666	4.063239949962594
Q5TZA2	PXD004452-Sample-1	colon	3662145.837758112	4.062741632040648
Q9UK73	PXD004452-Sample-1	colon	3657847.357142857	4.062231575111182
Q6UXY1	PXD004452-Sample-1	colon	3657246.388888889	4.062160216573302
O75438	PXD004452-Sample-1	colon	3654011.888888889	4.061775952869303
Q96F86	PXD004452-Sample-1	colon	3652496.6379310335	4.061595821651577
P22681	PXD004452-Sample-1	colon	3652041.7243589754	4.061541727485856
Q9NSY0	PXD004452-Sample-1	colon	3650984.0217391294	4.061415929102973
Q9BSQ5	PXD004452-Sample-1	colon	3647533.08	4.061005236068903
Q96KQ4	PXD004452-Sample-1	colon	3646710.590909091	4.060907295146928
P11274	PXD004452-Sample-1	colon	3645102.9464285714	4.060715795149159
Q9BTA9	PXD004452-Sample-1	colon	3641889.86	4.06033280429592
Q8NG11	PXD004452-Sample-1	colon	3641653.75	4.060304647322982
Q8ND82	PXD004452-Sample-1	colon	3641354.572649573	4.0602689667177385
Q2UY09	PXD004452-Sample-1	colon	3630842.1896551726	4.059013370023807
Q00613	PXD004452-Sample-1	colon	3626137.647058824	4.058450282562723
O95619	PXD004452-Sample-1	colon	3622748.035714286	4.058044126451441
Q7L2E3	PXD004452-Sample-1	colon	3620916.9295774647	4.057824558232383
P60880	PXD004452-Sample-1	colon	3614563.2884615385	4.057061830147243
Q8NHJ6	PXD004452-Sample-1	colon	3614502.4411764704	4.05705451920524
Q86YP4	PXD004452-Sample-1	colon	3614105.871428572	4.057006867417806
O75381	PXD004452-Sample-1	colon	3609201.6666666665	4.056417146052006
P15884	PXD004452-Sample-1	colon	3606909.1666666665	4.056141202359828
Q9NRY6	PXD004452-Sample-1	colon	3600355.4545454546	4.055351376553701
Q2M296	PXD004452-Sample-1	colon	3593481.3157894737	4.054521387902716
Q00653	PXD004452-Sample-1	colon	3592699.075	4.054426838965378
Q9UNY4	PXD004452-Sample-1	colon	3592343.5	4.054383854039704
Q9P2J9	PXD004452-Sample-1	colon	3592091.1633333336	4.054353346859362
O15254	PXD004452-Sample-1	colon	3588856.482905983	4.053962088205341
Q9UBF8	PXD004452-Sample-1	colon	3580951.5	4.053004435823333
Q9NSC5	PXD004452-Sample-1	colon	3578618.791666667	4.052721434930365
P49715	PXD004452-Sample-1	colon	3575344.285714286	4.052323865093896
P12544	PXD004452-Sample-1	colon	3573983.90625	4.052158589340454
A8MXV4	PXD004452-Sample-1	colon	3573420.078125	4.052090070072627
Q9H5Z1	PXD004452-Sample-1	colon	3571693.548611111	4.051880186145096
Q8N543	PXD004452-Sample-1	colon	3571657.552083333	4.051875809181634
O15213	PXD004452-Sample-1	colon	3570622.540229885	4.051749939029807
O75155	PXD004452-Sample-1	colon	3569916.636363636	4.051664071521127
Q58A45	PXD004452-Sample-1	colon	3568864.6551724137	4.051536074987527
P16284	PXD004452-Sample-1	colon	3568397.945736434	4.051479277488451
Q9BTX1	PXD004452-Sample-1	colon	3566371.513333333	4.051232578996137
P35858	PXD004452-Sample-1	colon	3565203.583333333	4.051090331161148
O15156	PXD004452-Sample-1	colon	3564259.6111111115	4.050975326168936
Q9BQP7	PXD004452-Sample-1	colon	3560724.75	4.050544400086015
Q9BZ23	PXD004452-Sample-1	colon	3559190.078125	4.050357178875296
Q6IA86	PXD004452-Sample-1	colon	3558042.9714285717	4.0502171856759
P52895	PXD004452-Sample-1	colon	3557152.5	4.050108481190888
Q3SXM5	PXD004452-Sample-1	colon	3556569.027777778	4.05003723893997
Q9Y303	PXD004452-Sample-1	colon	3555286.25	4.049880570027378
Q53GT1	PXD004452-Sample-1	colon	3555181.015625	4.049867714976743
